"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"J2";"CONN_SD-44764-001_08_MOL";1;"447640801";;;
2;"U1,U7,U3,U5";"DIP-8_W7.62mm";4;"TL071CP";;;
3;"U2,U8,U4,U6";"SOT-23-5";4;"OPA310IDBVR";;;
4;"R17,R25,R18,R13,R24,R28,R16,R23,R20,R19,R26,R14,R27,R22,R15,R21";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";16;"10k";;;
5;"R5,R8,R6,R7";"R_Axial_DIN0411_L9.9mm_D3.6mm_P15.24mm_Horizontal";4;"5M";;;
6;"C12,C13,C11,C8,C21,C20,C22,C16,C14,C15,C17,C18,C19";"C_Disc_D5.0mm_W2.5mm_P5.00mm";13;"0.1 uF";;;
7;"R9,R1,R4,R12,R10,R2,R3,R11";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";8;"1M";;;
8;"H1";"MountingHole_3.5mm_Pad";1;"MountingHole_Pad";;;
9;"H2,H3,H4";"MountingHole_5mm_Pad";3;"MountingHole_Pad";;;
10;"U10";"TO-252-3_TabPin2";1;"LD39150DT25";;;
11;"C10";"CP_Radial_D4.0mm_P2.00mm";1;"2.2 uF";;;
12;"C9";"CP_Radial_D5.0mm_P2.00mm";1;"1 uF";;;
13;"U9";"TO-252-2";1;"KA78M05_TO252";;;
14;"C7";"C_Disc_D5.0mm_W2.5mm_P5.00mm";1;"0.33 uF";;;
15;"R31";"R_Axial_DIN0414_L11.9mm_D4.5mm_P20.32mm_Horizontal";1;"150";;;
16;"R29,R30";"R_Axial_DIN0414_L11.9mm_D4.5mm_P20.32mm_Horizontal";2;"680";;;
17;"R32";"R_Axial_DIN0414_L11.9mm_D4.5mm_P20.32mm_Horizontal";1;"33";;;
18;"L2,L1";"L_Radial_D8.7mm_P5.00mm_Fastron_07HCP";2;"10uH";;;
19;"C5,C2,C3,C4,C6,C1";"CP_Radial_D6.3mm_P2.50mm";6;"100uF";;;
20;"TP2,TP3,TP4,TP1,TP5,TP8,TP6,TP7";"TestPoint_Pad_2.0x2.0mm";8;"TestPoint";;;
21;"D1,D2,D4,D3";"LED_0201_0603Metric";4;"LED";;;
22;"U11";"Anderson-3";1;"Anderson-3";;;
23;"SW2";"100DP1T3B1M6REH";1;"100DP1T3B1M6REH";;;
24;"J1";"CONN_182-009-213RXXX_NRC";1;"182-009-213R561";;;
